param,value,profile_loss,best_alpha,best_kappa,best_tau,best_theta
alpha,0.500000,1.195045,0.5,0.05487770069787054,62.965602999885526,0.06559199880236068
alpha,0.750000,1.142814,0.75,0.053240923637393196,58.83219748113518,0.038446548483444025
alpha,1.000000,1.126321,1.0,0.07363146806559526,45.28071014001104,0.03014006092474049
alpha,1.250000,1.086856,1.25,0.057404603998152726,71.63614573367151,0.07779038100276209
alpha,1.500000,1.069691,1.5,0.06148349982420504,67.93548121937292,0.08209426885324017
alpha,1.750000,1.010755,1.75,0.06763290840099404,54.30074013263851,0.08211680117563008
alpha,2.000000,0.942109,2.0,0.07189989054615578,50.94873257008152,0.05574543235937227
alpha,2.250000,0.976254,2.25,0.05577194064217747,87.34754019943266,0.0743822559995998
alpha,2.500000,0.902222,2.5,0.07952071305340895,46.52772344786599,0.050228857990056566
alpha,2.750000,0.936048,2.75,0.07460889849755939,41.823107298898364,0.036735884050795684
alpha,3.000000,0.859227,3.0,0.06325314082509488,69.28468392547087,0.06312183679523571
alpha,3.250000,0.865627,3.25,0.05538882923619945,92.8367320376222,0.06511253882291385
alpha,3.500000,0.889448,3.5,0.05968246331720919,43.82254452827407,0.06622557743285176
kappa,0.050000,0.832159,3.498554330542848,0.05,74.908260748987,0.0959888217390729
kappa,0.079167,0.908440,3.1990782550887618,0.07916666666666668,40.095533342348055,0.09181211906314501
kappa,0.108333,0.900717,3.3583524487263503,0.10833333333333334,40.34819236846118,0.08745372985120795
kappa,0.137500,1.008301,3.3262032010140787,0.1375,65.4710229055145,0.10592761627002331
kappa,0.166667,1.079115,3.1866235994372714,0.16666666666666669,56.06823927779622,0.07638483722160057
kappa,0.195833,1.048171,3.439017904828044,0.19583333333333336,51.96735676875112,0.12283136878821874
kappa,0.225000,1.112239,3.0680990666178154,0.22500000000000003,44.640356082916156,0.11464759372386198
kappa,0.254167,1.132288,3.1843204078355503,0.2541666666666667,50.09150310404554,0.26314260611585744
kappa,0.283333,1.132649,3.082002398866357,0.2833333333333334,41.05068565898468,0.14773420769957168
kappa,0.312500,1.176900,2.647939042411899,0.3125,42.04217509650555,0.25312813575826604
kappa,0.341667,1.185138,3.392347180812723,0.3416666666666667,51.72994362198156,0.26540636365362896
kappa,0.370833,1.194812,2.404894886832703,0.37083333333333335,41.57875965287167,0.2766384365742377
kappa,0.400000,1.188692,3.4420678553563326,0.4,42.25304442064467,0.19969793290004886
tau,40.000000,0.899758,2.0466097146776634,0.06731446993047661,40.0,0.07232620211727267
tau,48.333333,0.844725,2.6019677615070647,0.05245505330108589,48.333333333333336,0.07956161773304085
tau,56.666667,0.934104,3.4811323530042175,0.053109330569124674,56.66666666666667,0.22121258347605702
tau,65.000000,0.924741,2.4050986846207403,0.053406435364015674,65.0,0.045286105250576594
tau,73.333333,0.937040,3.1611944199056947,0.06150839407924447,73.33333333333334,0.1441569398404399
tau,81.666667,0.938857,3.107391085990501,0.06945582996139467,81.66666666666667,0.13574778638413948
tau,90.000000,0.942992,3.4285250948085615,0.055896149912435515,90.0,0.1972667698476887
tau,98.333333,0.924193,3.1073208259602523,0.05512210402924425,98.33333333333334,0.1015069899627757
tau,106.666667,0.991541,3.4436194072981934,0.06062885638701232,106.66666666666667,0.22574115604729647
tau,115.000000,0.944257,3.120997285518446,0.05110534350483488,115.0,0.14805350929346964
tau,123.333333,0.961901,3.1276723793634917,0.06918777202782617,123.33333333333334,0.09467346689610968
tau,131.666667,0.946605,3.12058325448624,0.06607096695823088,131.66666666666669,0.1108941415129199
tau,140.000000,0.979728,2.9462038035420237,0.05534926358944725,140.0,0.18857461197892775
theta,0.030000,0.930602,2.237239213294878,0.0581743950739529,40.00192395165788,0.03
theta,0.052500,0.889610,3.238583055343032,0.05023941731892311,61.6711938663424,0.052500000000000005
theta,0.075000,0.860690,2.384213003985788,0.05363158105187749,56.14635485403378,0.07500000000000001
theta,0.097500,0.855030,3.0347835410001904,0.051457537993695,78.95033966998623,0.0975
theta,0.120000,0.874103,3.4767077904389323,0.05407485791868866,66.4808227441735,0.12000000000000001
theta,0.142500,0.948701,2.9362971321115063,0.056315777437998135,121.50781704084231,0.14250000000000002
theta,0.165000,0.943673,3.471338291669003,0.06146766946143375,95.31972591780506,0.165
theta,0.187500,0.971016,2.914391607890321,0.055337631900470786,93.52314762690445,0.18750000000000003
theta,0.210000,0.968622,3.410577988878395,0.05944476646642152,74.17490767064852,0.21000000000000002
theta,0.232500,0.990536,3.44556320492121,0.08601814895409407,45.96966846383704,0.2325
theta,0.255000,0.980187,3.162824108116041,0.05455647610339322,48.00483929459483,0.255
theta,0.277500,1.019111,3.1169144913113063,0.07351688331327037,50.24279384139588,0.2775
theta,0.300000,1.018234,3.223236057159858,0.06562994511313294,47.33655751010532,0.3
